crash_date,traffic_control_device,weather_condition,lighting_condition,first_crash_type,trafficway_type,alignment,roadway_surface_cond,road_defect,crash_type,intersection_related_i,damage,prim_contributory_cause,num_units,most_severe_injury,injuries_total,injuries_fatal,injuries_incapacitating,injuries_non_incapacitating,injuries_reported_not_evident,injuries_no_indication,crash_hour,crash_day_of_week,crash_month
9/23/2023 15:00,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,PEDALCYCLIST,FOUR WAY,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,2,NO INDICATION OF INJURY,0,0,0,0,0,2,15,7,9
9/20/2018 9:15,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",UNABLE TO DETERMINE,2,NO INDICATION OF INJURY,0,0,0,0,0,2,9,5,9
10/8/2023 2:15,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,FOUR WAY,STRAIGHT AND LEVEL,DRY,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",DISREGARDING TRAFFIC SIGNALS,2,NONINCAPACITATING INJURY,5,0,0,5,0,0,2,1,10
9/25/2023 5:46,STOP SIGN/FLASHER,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,Y,$500 OR LESS,FAILING TO YIELD RIGHT-OF-WAY,2,NO INDICATION OF INJURY,0,0,0,0,0,2,5,2,9
9/27/2023 5:48,TRAFFIC SIGNAL,RAIN,"DARKNESS, LIGHTED ROAD",PEDESTRIAN,UNKNOWN INTERSECTION TYPE,STRAIGHT AND LEVEL,WET,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",IMPROPER TURNING/NO SIGNAL,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,5,4,9
10/11/2023 20:35,TRAFFIC SIGNAL,RAIN,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO DEFECTS,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",WEATHER,2,NO INDICATION OF INJURY,0,0,0,0,0,2,20,4,10
9/27/2023 9:50,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",UNABLE TO DETERMINE,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,9,4,9
9/30/2023 9:23,NO CONTROLS,CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",UNABLE TO DETERMINE,2,NO INDICATION OF INJURY,0,0,0,0,0,2,9,7,9
10/12/2023 20:07,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,2,NO INDICATION OF INJURY,0,0,0,0,0,3,20,5,10
10/14/2023 17:15,TRAFFIC SIGNAL,CLOUDY/OVERCAST,DUSK,TURNING,FOUR WAY,STRAIGHT AND LEVEL,WET,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",IMPROPER TURNING/NO SIGNAL,2,NO INDICATION OF INJURY,0,0,0,0,0,3,17,7,10
10/14/2023 9:34,TRAFFIC SIGNAL,RAIN,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,WET,NO DEFECTS,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",FOLLOWING TOO CLOSELY,2,NO INDICATION OF INJURY,0,0,0,0,0,2,9,7,10
8/18/2019 19:27,TRAFFIC SIGNAL,CLEAR,DUSK,REAR END,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",FAILING TO REDUCE SPEED TO AVOID CRASH,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,2,19,1,8
10/31/2021 2:50,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,3,NO INDICATION OF INJURY,0,0,0,0,0,5,2,1,10
9/24/2022 22:35,NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,WET,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",FOLLOWING TOO CLOSELY,3,NONINCAPACITATING INJURY,2,0,0,2,0,2,22,7,9
4/11/2020 21:00,TRAFFIC SIGNAL,RAIN,"DARKNESS, LIGHTED ROAD",ANGLE,FOUR WAY,STRAIGHT AND LEVEL,WET,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",DISREGARDING TRAFFIC SIGNALS,2,NO INDICATION OF INJURY,0,0,0,0,0,2,21,7,4
6/11/2019 8:40,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500",UNABLE TO DETERMINE,2,NO INDICATION OF INJURY,0,0,0,0,0,3,8,3,6
11/8/2022 8:30,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,TURNING,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,2,NONINCAPACITATING INJURY,3,0,0,3,0,1,8,3,11
12/6/2016 13:15,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",NOT APPLICABLE,2,NO INDICATION OF INJURY,0,0,0,0,0,4,13,3,12
3/2/2020 4:35,STOP SIGN/FLASHER,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,T-INTERSECTION,STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",DISREGARDING STOP SIGN,2,NONINCAPACITATING INJURY,1,0,0,1,0,2,4,2,3
6/30/2023 9:30,NO CONTROLS,CLEAR,DAYLIGHT,TURNING,T-INTERSECTION,STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",FAILING TO REDUCE SPEED TO AVOID CRASH,3,NONINCAPACITATING INJURY,1,0,0,1,0,3,9,6,6
8/12/2020 13:15,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,ANGLE,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",DISREGARDING STOP SIGN,2,NO INDICATION OF INJURY,0,0,0,0,0,2,13,4,8
1/23/2022 7:40,TRAFFIC SIGNAL,SNOW,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,ICE,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",WEATHER,2,NO INDICATION OF INJURY,0,0,0,0,0,2,7,1,1
10/9/2018 4:00,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",UNABLE TO DETERMINE,2,NONINCAPACITATING INJURY,3,0,0,3,0,1,4,3,10
8/8/2022 15:54,STOP SIGN/FLASHER,RAIN,DAYLIGHT,ANGLE,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,15,2,8
3/27/2021 9:15,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,TURNING,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500",IMPROPER LANE USAGE,2,NO INDICATION OF INJURY,0,0,0,0,0,2,9,7,3
3/21/2019 22:50,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",UNABLE TO DETERMINE,2,NO INDICATION OF INJURY,0,0,0,0,0,2,22,5,3
1/26/2020 18:43,TRAFFIC SIGNAL,CLEAR,DARKNESS,ANGLE,FOUR WAY,STRAIGHT AND LEVEL,DRY,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",UNABLE TO DETERMINE,2,NO INDICATION OF INJURY,0,0,0,0,0,8,18,1,1
1/21/2020 15:45,UNKNOWN,CLEAR,DAWN,ANGLE,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500",FAILING TO YIELD RIGHT-OF-WAY,2,NO INDICATION OF INJURY,0,0,0,0,0,2,15,3,1
8/30/2018 17:45,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,UNKNOWN,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",IMPROPER OVERTAKING/PASSING,2,NO INDICATION OF INJURY,0,0,0,0,0,2,17,5,8
5/30/2022 0:49,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500",EQUIPMENT - VEHICLE CONDITION,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,2,5
4/10/2023 10:20,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",UNABLE TO DETERMINE,2,NO INDICATION OF INJURY,0,0,0,0,0,2,10,2,4
1/3/2016 14:00,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500",NOT APPLICABLE,2,NO INDICATION OF INJURY,0,0,0,0,0,2,14,1,1
10/12/2022 9:15,STOP SIGN/FLASHER,RAIN,DAYLIGHT,ANGLE,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",DISREGARDING STOP SIGN,3,NONINCAPACITATING INJURY,3,0,0,2,1,1,9,4,10
8/18/2019 16:14,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",FAILING TO REDUCE SPEED TO AVOID CRASH,2,NONINCAPACITATING INJURY,3,0,0,3,0,1,16,1,8
9/8/2015 11:30,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,REAR END,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500",UNABLE TO DETERMINE,2,NO INDICATION OF INJURY,0,0,0,0,0,2,11,3,9
11/7/2022 10:05,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,TURNING,"FIVE POINT, OR MORE",STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",DISREGARDING TRAFFIC SIGNALS,2,NO INDICATION OF INJURY,0,0,0,0,0,4,10,2,11
6/30/2020 14:50,NO CONTROLS,UNKNOWN,UNKNOWN,REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,Y,"$501 - $1,500",FOLLOWING TOO CLOSELY,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,1,14,3,6
4/20/2021 14:00,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,TURNING,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",UNABLE TO DETERMINE,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,1,14,3,4
10/21/2022 15:20,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),"CURVE, LEVEL",DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500",FOLLOWING TOO CLOSELY,2,NO INDICATION OF INJURY,0,0,0,0,0,2,15,6,10
6/30/2017 16:00,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,2,NO INDICATION OF INJURY,0,0,0,0,0,3,16,6,6
10/25/2015 3:01,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,DIVIDED - W/MEDIAN BARRIER,"CURVE, LEVEL",DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",IMPROPER OVERTAKING/PASSING,1,NO INDICATION OF INJURY,0,0,0,0,0,1,3,1,10
11/30/2021 13:30,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,TURNING,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",UNABLE TO DETERMINE,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,13,3,11
12/11/2020 0:29,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",DISREGARDING TRAFFIC SIGNALS,2,"REPORTED, NOT EVIDENT",2,0,0,0,2,2,0,6,12
7/14/2022 12:00,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,FIXED OBJECT,OTHER,"CURVE, LEVEL",DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500",FAILING TO YIELD RIGHT-OF-WAY,1,NO INDICATION OF INJURY,0,0,0,0,0,1,12,5,7
6/20/2018 20:55,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,Y,"$501 - $1,500",DISREGARDING TRAFFIC SIGNALS,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,3,20,4,6
12/14/2021 0:45,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",NOT APPLICABLE,1,NO INDICATION OF INJURY,0,0,0,0,0,1,0,3,12
1/19/2018 14:35,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,Y,"$501 - $1,500",FOLLOWING TOO CLOSELY,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,2,14,6,1
11/10/2018 12:20,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,REAR END,OTHER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",UNABLE TO DETERMINE,2,NO INDICATION OF INJURY,0,0,0,0,0,4,12,7,11
11/19/2017 4:30,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500",IMPROPER OVERTAKING/PASSING,2,NO INDICATION OF INJURY,0,0,0,0,0,3,4,1,11
2/28/2023 19:30,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",FAILING TO REDUCE SPEED TO AVOID CRASH,2,NO INDICATION OF INJURY,0,0,0,0,0,3,19,3,2
9/22/2022 15:15,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,ANGLE,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,2,NO INDICATION OF INJURY,0,0,0,0,0,4,15,5,9
8/13/2018 1:45,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500","OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",1,NO INDICATION OF INJURY,0,0,0,0,0,2,1,2,8
12/12/2017 14:45,UNKNOWN,CLOUDY/OVERCAST,DAYLIGHT,PEDESTRIAN,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,OTHER,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",UNABLE TO DETERMINE,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,14,3,12
6/22/2018 7:25,TRAFFIC SIGNAL,RAIN,DAYLIGHT,TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",UNABLE TO DETERMINE,2,NONINCAPACITATING INJURY,2,0,0,2,0,2,7,6,6
3/12/2020 17:38,NO CONTROLS,CLEAR,DUSK,TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,2,NO INDICATION OF INJURY,0,0,0,0,0,2,17,5,3
4/21/2020 10:00,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500",UNABLE TO DETERMINE,2,NO INDICATION OF INJURY,0,0,0,0,0,2,10,3,4
11/18/2017 13:11,TRAFFIC SIGNAL,RAIN,DAYLIGHT,FIXED OBJECT,NOT DIVIDED,STRAIGHT AND LEVEL,WET,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",DISREGARDING TRAFFIC SIGNALS,1,NO INDICATION OF INJURY,0,0,0,0,0,1,13,7,11
7/13/2016 14:00,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",FAILING TO REDUCE SPEED TO AVOID CRASH,2,NO INDICATION OF INJURY,0,0,0,0,0,2,14,4,7
7/20/2016 16:45,UNKNOWN,UNKNOWN,UNKNOWN,TURNING,CENTER TURN LANE,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",UNABLE TO DETERMINE,2,NO INDICATION OF INJURY,0,0,0,0,0,2,16,4,7
11/20/2018 12:14,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,UNKNOWN,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",IMPROPER OVERTAKING/PASSING,2,NO INDICATION OF INJURY,0,0,0,0,0,2,12,3,11
12/27/2020 18:16,TRAFFIC SIGNAL,CLEAR,DAWN,ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500",NOT APPLICABLE,2,NO INDICATION OF INJURY,0,0,0,0,0,4,18,1,12
7/6/2023 9:20,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",DISREGARDING STOP SIGN,2,NO INDICATION OF INJURY,0,0,0,0,0,2,9,5,7
12/29/2021 12:13,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,TURNING,T-INTERSECTION,STRAIGHT AND LEVEL,DRY,SHOULDER DEFECT,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",UNABLE TO DETERMINE,2,NO INDICATION OF INJURY,0,0,0,0,0,2,12,4,12
9/17/2019 18:58,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",UNABLE TO DETERMINE,2,NO INDICATION OF INJURY,0,0,0,0,0,2,18,3,9
10/12/2017 8:50,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",IMPROPER LANE USAGE,2,NO INDICATION OF INJURY,0,0,0,0,0,2,8,5,10
1/5/2018 17:07,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",FOLLOWING TOO CLOSELY,2,NO INDICATION OF INJURY,0,0,0,0,0,2,17,6,1
3/21/2022 21:45,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,Y,$500 OR LESS,FAILING TO REDUCE SPEED TO AVOID CRASH,2,NO INDICATION OF INJURY,0,0,0,0,0,2,21,2,3
6/10/2023 19:30,UNKNOWN,CLEAR,DUSK,TURNING,FOUR WAY,STRAIGHT AND LEVEL,DRY,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",UNABLE TO DETERMINE,2,NONINCAPACITATING INJURY,1,0,0,1,0,2,19,7,6
3/1/2017 15:50,NO CONTROLS,RAIN,DAYLIGHT,TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,WET,UNKNOWN,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,2,NO INDICATION OF INJURY,0,0,0,0,0,4,15,4,3
12/11/2021 20:50,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,T-INTERSECTION,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",DISREGARDING TRAFFIC SIGNALS,2,INCAPACITATING INJURY,2,0,1,0,1,1,20,7,12
2/11/2019 15:00,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,Y,$500 OR LESS,IMPROPER TURNING/NO SIGNAL,2,NO INDICATION OF INJURY,0,0,0,0,0,2,15,2,2
8/19/2016 20:15,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,ANGLE,ONE-WAY,STRAIGHT AND LEVEL,DRY,UNKNOWN,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",UNABLE TO DETERMINE,2,NO INDICATION OF INJURY,0,0,0,0,0,2,20,6,8
2/10/2023 19:05,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,2,NO INDICATION OF INJURY,0,0,0,0,0,2,19,6,2
2/13/2021 19:28,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,1,19,7,2
7/28/2019 15:25,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",UNABLE TO DETERMINE,3,NO INDICATION OF INJURY,0,0,0,0,0,3,15,1,7
4/6/2019 20:35,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,ONE-WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500",IMPROPER LANE USAGE,2,NO INDICATION OF INJURY,0,0,0,0,0,3,20,7,4
12/13/2018 16:45,STOP SIGN/FLASHER,CLEAR,DAWN,SIDESWIPE SAME DIRECTION,ONE-WAY,STRAIGHT AND LEVEL,DRY,UNKNOWN,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",IMPROPER OVERTAKING/PASSING,3,NO INDICATION OF INJURY,0,0,0,0,0,3,16,5,12
11/17/2022 7:15,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",FOLLOWING TOO CLOSELY,2,NO INDICATION OF INJURY,0,0,0,0,0,2,7,5,11
9/18/2020 12:30,YIELD,CLEAR,DAYLIGHT,PEDESTRIAN,FOUR WAY,STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,FAILING TO YIELD RIGHT-OF-WAY,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,12,6,9
